  Time                  (V(MagIn))@1          (V(MagIn))@2         
  8.114148768492e-007  1.277068373140e+002  1.277068372848e+002  
  8.148648681947e-007  1.277937284387e+002  1.277937284954e+002  
  8.176249357768e-007  1.278774515644e+002  1.278774516312e+002  
  8.205363011270e-007  1.279720218947e+002  1.279720219747e+002  
  8.224150499611e-007  1.280316335125e+002  1.280316336237e+002  
  8.258650413065e-007  1.281316405685e+002  1.281316406983e+002  
  8.293150326519e-007  1.282147416433e+002  1.282147417231e+002  
  8.327650239974e-007  1.282738347718e+002  1.282738347771e+002  
  8.362150153428e-007  1.283065839263e+002  1.283065839048e+002  
  8.396650066882e-007  1.283113259246e+002  1.283113258922e+002  
  8.431149980336e-007  1.282871605544e+002  1.282871605173e+002  
  8.465649893790e-007  1.282356467334e+002  1.282356466936e+002  
  8.500149807244e-007  1.281650982344e+002  1.281650982074e+002  
  8.527750483065e-007  1.280995294292e+002  1.280995294203e+002  
  8.533569816092e-007  1.280854534600e+002  1.280854534548e+002  
  8.545207622984e-007  1.280583197143e+002  1.280583197131e+002  
  8.568483236769e-007  1.280134327830e+002  1.280134327839e+002  
  8.602983150223e-007  1.279824803756e+002  1.279824803794e+002  
  8.637483063677e-007  1.280065466581e+002  1.280065466861e+002  
  8.671982977131e-007  1.280711138366e+002  1.280711138947e+002  
  8.706482890585e-007  1.281493890573e+002  1.281493891292e+002  
  8.740982804039e-007  1.282239570297e+002  1.282239571018e+002  
  8.749286726027e-007  1.282387934463e+002  1.282387935184e+002  
  8.765894070178e-007  1.282667510642e+002  1.282667511383e+002  
  8.783786639481e-007  1.282975960051e+002  1.282975960789e+002  
  8.818286552935e-007  1.283797267193e+002  1.283797267711e+002  
  8.824150499611e-007  1.283970002064e+002  1.283970002520e+002  
  8.835877713471e-007  1.284348893042e+002  1.284348893385e+002  
  8.859332141190e-007  1.285194034934e+002  1.285194035158e+002  
  8.893832054644e-007  1.286378096271e+002  1.286378096264e+002  
  8.928331968098e-007  1.287226866508e+002  1.287226866221e+002  
  8.962831881552e-007  1.287662904144e+002  1.287662903530e+002  
  8.997331795006e-007  1.287890501783e+002  1.287890500946e+002  
  9.031831708460e-007  1.288128055994e+002  1.288128055216e+002  
  9.066331621914e-007  1.288477547032e+002  1.288477546410e+002  
  9.100831535368e-007  1.288493611803e+002  1.288493611262e+002  
  9.135331448823e-007  1.287679358663e+002  1.287679358343e+002  
  9.169831362277e-007  1.285852109812e+002  1.285852110190e+002  
  9.204331275731e-007  1.283367156373e+002  1.283367157149e+002  
  9.238831189185e-007  1.281075847397e+002  1.281075847470e+002  
  9.273331102639e-007  1.279531501898e+002  1.279531500972e+002  
  9.307831016093e-007  1.278965238052e+002  1.278965236510e+002  
  9.342330929547e-007  1.278703329518e+002  1.278703327958e+002  
  9.376830843001e-007  1.278210157846e+002  1.278210157540e+002  
  9.411330756455e-007  1.276867226091e+002  1.276867227861e+002  
  9.445830669909e-007  1.274746964897e+002  1.274746967918e+002  
  9.479648855238e-007  1.272045773740e+002  1.272045776462e+002  
  9.514148768692e-007  1.268778943616e+002  1.268778944900e+002  
  9.548648682147e-007  1.265319609537e+002  1.265319609428e+002  
  9.583148595601e-007  1.262047553068e+002  1.262047552008e+002  
  9.611329828313e-007  1.259745366061e+002  1.259745364618e+002  
  9.639511061025e-007  1.258147310047e+002  1.258147308593e+002  
  9.674010974479e-007  1.257071113753e+002  1.257071112597e+002  
  9.708510887933e-007  1.256598365323e+002  1.256598364718e+002  
  9.743010801387e-007  1.256315891609e+002  1.256315891651e+002  
